0AK,Pilot Station Airport,Pilot Station,AK,United States
16A,Nunapitchuk Airport,Nunapitchuk,AK,United States
1G4,Grand Canyon West Airport,Peach Springs,AZ,United States
2A3,Larsen Bay Airport,Larsen Bay,AK,United States
2A9,Kotlik Airport,Kotlik,AK,United States
3A5,Marshall Don Hunter Sr,Marshall,AK,United States
3T7,Middle Bass Island Airport,Middle Bass,OH,United States
3W2,Put - in - Bay Airport,Put - in - Bay,OH,United States
6R7,Old Harbor Airport,Old Harbor,AK,United States
74S,Anacortes Airport,Anacortes,WA,United States
A61,Tuntutuliak Airport,Tuntutuliak,AK,United States
A85,Kwigillingok Airport,Kwigillingok,AK,United States
,,,,United States
ABE,Lehigh Valley International Airport,Allentown,PA,United States
ABI,Abilene Regional Airport,Abilene,TX,United States
ABQ,Albuquerque International Sunport,Albuquerque,NM,United States
ABR,Aberdeen Regional Airport,Aberdeen,SD,United States
ABY,Southwest Georgia Regional Airport,Albany,GA,United States
ACB,Bellaire/Antrim County Airport,Bellaire,MI,United States
ACK,Nantucket Memorial Airport,Nantucket,MA,United States
ACT,Waco Regional Airport,Waco,TX,United States
ACV,Arcata Airport,Arcata/Eureka,CA,United States
ACY,Atlantic City International Airport,Egg Harbor Township,NJ,United States
ADK,Adak Airport,Adak Island,AK,United States
ADQ,Kodiak Airport,Kodiak,AK,United States
AEX,Alexandria International Airport,Alexandria,LA,United States
AFM,Ambler Airport,Ambler,AK,United States
AGC,Allegheny County Airport,Pittsburgh,PA,United States
AGN,Angoon Seaplane Base,Angoon,AK,United States
AGS,Augusta Regional Airport,Augusta,GA,United States
AHN,Athens/Ben Epps Airport,Athens,GA,United States
AIA,Alliance Municipal Airport,Alliance,NE,United States
AID,Anderson Municipal Airport,Anderson,IN,United States
AIY,Atlantic City Municipal Airport/Bader Field,Atlantic City,NJ,United States
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,MO,United States
AKN,King Salmon Airport,King Salmon,AK,United States
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK,United States
AKW,Klawock Airport,Klawock,AK,United States
ALB,Albany International Airport,Albany,NY,United States
ALM,Alamogordo-White Sands Regional Airport,Alamogordo,NM,United States
ALN,St Louis Regional Airport,Alton/St Louis,IL,United States
ALO,Waterloo Regional Airport,Waterloo,IA,United States
ALS,San Luis Valley Regional Airport,Alamosa,CO,United States
ALW,Walla Walla Regional Airport,Walla Walla,WA,United States
AMA,Amarillo International Airport,Amarillo,TX,United States
ANB,Anniston Municipal Airport,Anniston,AL,United States
ANC,Anchorage International Airport,Anchorage,AK,United States
AND,Anderson Regional Airport,Anderson,SC,United States
ANI,Aniak Airport,Aniak,AK,United States
AOO,Altoona-Blair County Airport,Altoona,PA,United States
APF,Naples Municipal Airport,Naples,FL,United States
APN,Alpena County Regional Airport,Alpena,MI,United States
AQH,Quinhagak Airport,Quinhagak,AK,United States
AQT,Nuiqsut Airport,Nuiqsut,AK,United States
ART,Watertown International Airport,Watertown,NY,United States
ASE,Aspen-Pitkin County Airport,Aspen,CO,United States
ASN,Talladega Municipal Airport,Talladega,AL,United States
AST,Astoria Regional Airport,Astoria,OR,United States
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,AK,United States
ATL,Atlanta International Airport,Atlanta,GA,United States
ATW,Outagamie County Regional Airport,Appleton,WI,United States
ATY,Watertown Municipal Airport,Watertown,SD,United States
AUG,Augusta State Airport,Augusta,ME,United States
AUK,Alakanuk Airport,Alakanuk,AK,United States
AUS,Austin-Bergstrom International Airport,Austin,TX,United States
AVL,Asheville Regional Airport,Asheville,NC,United States
AVP,Wilkes-Barre/Scranton International Airport,Avoca,PA,United States
AWI,Wainwright Airport,Wainwright,AK,United States
AXN,Chandler Field Airport,Alexandria,MN,United States
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,United States
BAF,Barnes Municipal Airport,Westfield/Springfield,MA,United States
BAK,Columbus Municipal Airport,Columbus,IN,United States
BCE,Bryce Canyon Airport,Bryce Canyon,UT,United States
BDE,Baudette International Airport,Baudette,MN,United States
BDL,Bradley International Airport,Windsor Locks,CT,United States
BDR,Igor I Sikorsky Memorial Airport,Bridgeport,CT,United States
BED,Bedford Hanscom Field,Bedford,MA,United States
BEH,Southwest Michigan Regional Airport,Benton Harbor,MI,United States
BET,Bethel Airport,Bethel,AK,United States
BFD,Bradford Regional Airport,Bradford,PA,United States
BFF,Western Nebraska Regional Airport,Scottsbluff,NE,United States
BFI,Boeing Field/King County International Airport,Seattle,WA,United States
BFL,Meadows Field Airport,Bakersfield,CA,United States
BGM,Greater Binghamton Airport,Binghamton,NY,United States
BGR,Bangor International Airport,Bangor,ME,United States
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,ME,United States
BHM,Birmingham International Airport,Birmingham,AL,United States
BID,Block Island State Airport,Block Island,RI,United States
BIG,Allen Aaf Airport,Delta Junction Ft Greely,AK,United States
BIL,Billings Logan International Airport,Billings,MT,United States
BIS,Bismarck Municipal Airport,Bismarck,ND,United States
BJI,Bemidji Regional Airport,Bemidji,MN,United States
BKL,Burke Lakefront Airport,Cleveland,OH,United States
BKW,Raleigh County Memorial Airport,Beckley,WV,United States
BKX,Brookings Municipal Airport,Brookings,SD,United States
BLI,Bellingham International Airport,Bellingham,WA,United States
BLM,Monmouth Executive Airport,Belmar/Farmingdale,NJ,United States
BLV,Midamerica Airport,Belleville,IL,United States
BMG,Monroe County Airport,Bloomington,IN,United States
BMI,Central Illinois Regional Airport,Bloomington,IL,United States
BNA,Nashville International Airport,Nashville,TN,United States
BOI,Boise Airport,Boise,ID,United States
BOS,Boston Logan International Airport,Boston,MA,United States
BPK,Baxter County Regional Airport,Mountain Home,AR,United States
BPT,Southeast Texas Regional Airport,Beaumont / Port Arthur,TX,United States
BQK,Brunswick Golden Isles Airport,Brunswick,GA,United States
BQN,Aguadilla Airport,Aguadilla,PR,United States
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,United States
BRL,Southeast Iowa Regional Airport,Burlington,IA,United States
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,United States
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,United States
BTI,Barter Island LRRS Airport,Kaktovik,AK,United States
BTL,W K Kellogg Airport,Battle Creek,MI,United States
BTM,Bert Mooney Airport,Butte,MT,United States
BTR,Baton Rouge International Airport,Baton Rouge,LA,United States
BTV,Burlington International Airport,South Burlington,VT,United States
BUF,Buffalo Niagara International Airport,Buffalo,NY,United States
BUR,Burbank Bob Hope Airport,Burbank,CA,United States
BVK,Buckland Airport,Buckland,AK,United States
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,KY,United States
BWI,Baltimore / Washington International Airport,BWI Airport,MD,United States
BZN,Bozeman Gallatin Field Airport,Bozeman,MT,United States
CAE,Columbia Metropolitan Airport,Columbia,SC,United States
CAK,Akron-Canton Airport,North Canton,OH,United States
CCR,Buchanan Field Airport,Concord,CA,United States
CDB,Cold Bay Airport,Cold Bay,AK,United States
CDC,Cedar City Regional Airport,Cedar City,UT,United States
CDV,Cordova Municipal Airport,Cordova,AK,United States
CDW,Essex County Airport,Caldwell,NJ,United States
CEC,Jack Mc Namara Field Airport,Crescent City,CA,United States
CEF,Westover Metropolitan Airport,Springfield/Chicopee,MA,United States
CEZ,Cortez Municipal Airport,Cortez,CO,United States
CFK,Chefornak Airport,Chefornak,AK,United States
CGA,Craig Airport,Craig,AK,United States
CGF,Cuyahoga County Airport,Cleveland,OH,United States
